Metraż,Piętro,Liczba pokoi,Cena
44,4,2,210
42,4,2,210
45,3,2,213
40,3,2,215
45,3,2,215
40,3,2,216
43,2,2,218
42,4,2,218
47,2,2,219
47,1,2,220
52,2,2,220
50,2,2,223
41,3,2,224
43,2,1,225
46,3,2,225
45,1,2,225
40,3,2,225
43,7,2,225
40,0,2,225
42,3,2,227
48,4,3,228
45,2,2,229
46,1,1,229
45,4,2,230
47,2,2,230
47,10,2,230
43,4,2,230
47,1,2,199
40,5,1,200
45,4,2,200
45,3,2,210
45,4,2,210
42,4,2,230
45,3,2,231
45,3,2,232
49,1,2,232
47,3,2,232
41,0,1,232
45,1,2,234
46,2,2,234
46,2,2,234
46,3,2,234
52,10,2,235
41,3,2,235
42,3,2,235
40,3,2,235
44,3,2,235
40,1,2,235
43,3,2,235
48,3,3,235
45,2,2,237
44,3,2,238
45,3,2,238
52,4,3,239
47,1,2,239
47,4,2,239
42,0,2,240
40,3,2,240
45,0,2,240
50,4,2,240
40,3,2,240
50,4,2,240
62,1,3,240
43,4,2,230
41,2,1,230
47,4,3,230
63,2,3,230
47,4,3,230
42,4,2,230
42,10,2,230
42,4,2,230
48,0,2,240
48,4,2,240
41,10,2,242
52,1,2,243
50,1,2,244
51,5,2,244
60,2,2,245
45,2,2,245
45,4,2,245
43,3,2,245
47,3,2,245
56,4,3,245
49,0,2,245
46,0,2,245
42,0,2,246
51,4,2,247
52,0,2,247
42,8,2,247
43,8,2,248
49,3,2,249
42,2,2,249
51,4,2,249
42,3,2,249
50,9,2,249
55,4,2,250
57,2,2,250
52,0,2,250
50,4,2,250
48,0,2,250
46,0,2,250
55,1,2,250
41,4,2,250
46,3,2,250
50,0,2,250
49,1,2,250
41,4,2,250
47,0,2,252
51,3,3,252
43,0,2,253
53,2,3,253
53,1,2,255
45,4,2,255
40,4,2,255
45,3,2,255
48,4,3,255
43,2,2,255
53,7,3,255
52,3,2,256
53,2,3,257
41,4,2,258
47,2,3,258
53,3,3,259
43,2,2,259
52,0,3,260
53,1,3,260
53,4,3,260
53,2,3,260
43,4,2,262
53,4,3,263
47,5,2,264
45,3,2,265
50,4,2,265
41,2,1,265
44,4,2,265
57,2,2,265
54,1,3,265
51,4,2,265
48,1,3,265
43,7,2,265
53,4,3,265
43,7,2,267
43,7,2,267
45,4,2,267
45,3,2,268
54,1,2,268
53,4,3,269
46,2,2,269
43,5,2,269
57,4,3,270
52,2,3,270
43,9,2,270
44,3,2,273
55,4,2,274
70,2,3,275
46,4,2,275
46,1,2,275
45,2,2,275
50,3,2,275
46,1,2,275
51,3,3,275
49,3,2,275
50,0,3,277
58,4,3,278
54,4,2,278
52,2,2,279
54,0,3,279
54,0,3,279
52,9,2,279
70,2,3,279
45,1,2,279
53,0,3,279
50,3,2,280
56,0,3,280
56,3,2,280
45,4,3,283
48,8,3,293
48,8,3,295
63,0,3,295
62,3,3,295
62,3,3,296
57,1,3,297
55,3,2,300
60,10,3,300
60,0,3,300
64,4,4,300
42,3,2,300
55,6,3,300
58,0,3,305
62,3,4,305
60,3,3,305
47,4,3,308
47,2,3,309
51,1,3,309
62,4,3,310
56,8,3,310
56,3,3,310
60,4,3,311
65,4,4,299
52,1,3,314
63,4,3,315
53,4,3,317
64,4,4,318
52,3,3,218
54,1,3,318
52,4,3,319
55,3,3,319
53,3,3,320
64,3,4,320
64,3,4,320
53,3,3,320
44,0,3,320
65,1,3,320
53,3,3,320
42,0,3,320
49,4,3,320
53,3,3,320
65,1,3,321
48,4,3,325
58,4,3,235
60,1,4,326
54,1,3,326
70,2,3,328
52,8,3,328
70,4,3,328
53,3,3,329
52,3,3,329
74,3,3,330
53,3,3,330
54,6,3,330
60,2,3,330
55,8,3,333
53,1,3,333
62,4,3,333
53,0,3,334
54,4,3,334
57,4,3,335
64,2,4,335
50,4,3,335
50,0,3,335
53,4,3,336
55,0,3,337
64,2,3,339
58,1,3,339
56,2,3,340
55,0,3,340
53,3,3,340
64,3,4,350
64,3,3,350
60,1,4,340
62,2,4,345
70,1,4,370
84,4,4,380
70,1,4,380
82,10,4,380
79,3,4,420
81,3,4,425
82,3,4,425
85,2,4,475
85,1,4,515
80,6,4,520
100,10,4,530
